gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,average_score,reading_math_ratio,writing_math_ratio
female,group D,some high school,free/reduced,none,50,64,59,173,57.666666666666664,1.2799999744000006,1.1799999764000004
female,group D,associate's degree,free/reduced,completed,75,90,88,253,84.33333333333333,1.1999999840000002,1.1733333176888892
male,group B,associate's degree,free/reduced,none,57,56,57,170,56.666666666666664,0.9824561231148049,0.9999999824561407
male,group C,associate's degree,free/reduced,none,55,61,54,170,56.666666666666664,1.1090908889256204,0.9818181639669425
female,group C,associate's degree,standard,none,58,73,68,199,66.33333333333333,1.2586206679548162,1.1724137728894177
female,group B,associate's degree,standard,none,53,58,65,176,58.666666666666664,1.0943396019935925,1.2264150711997157
male,group B,some college,free/reduced,completed,59,65,66,190,63.333333333333336,1.1016948965814424,1.1186440488365417
female,group E,associate's degree,free/reduced,none,50,56,54,160,53.333333333333336,1.1199999776000005,1.0799999784000005
male,group B,associate's degree,standard,none,65,54,57,176,58.666666666666664,0.8307692179881659,0.8769230634319529
female,group A,associate's degree,standard,completed,55,65,62,182,60.666666666666664,1.1818181603305788,1.12727270677686
female,group C,high school,standard,none,66,71,76,213,71.0,1.075757559458219,1.1515151340679526
female,group D,associate's degree,free/reduced,completed,57,74,76,207,69.0,1.2982455912588493,1.333333309941521
male,group C,high school,standard,completed,82,84,82,248,82.66666666666667,1.0243902314098752,0.9999999878048782
male,group E,some college,standard,none,53,55,48,156,52.0,1.0377358294766825,0.9056603602705593
male,group E,associate's degree,free/reduced,completed,77,69,68,214,71.33333333333333,0.8961038844661834,0.8831168716478328
male,group C,some college,standard,none,53,44,42,139,46.333333333333336,0.830188663581346,0.7924528152367394
male,group D,high school,standard,none,88,78,75,241,80.33333333333333,0.8863636262913225,0.8522727175878101
female,group C,some high school,free/reduced,completed,71,84,87,242,80.66666666666667,1.1830985748859355,1.225352095417576
female,group C,high school,free/reduced,none,33,41,43,117,39.0,1.2424242047750242,1.3030302635445377
female,group E,associate's degree,standard,completed,82,85,86,253,84.33333333333333,1.0365853532123739,1.0487804750148724
male,group D,associate's degree,standard,none,52,55,49,156,52.0,1.0576922873520715,0.9423076741863909
male,group D,some college,standard,completed,58,59,58,175,58.333333333333336,1.0172413617717007,0.999999982758621
female,group C,some high school,free/reduced,none,0,17,10,27,9.0,17000000.0,10000000.0
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,75.0,0.9367088489024197,0.9113923935266786
male,group A,some high school,free/reduced,none,39,39,34,112,37.333333333333336,0.999999974358975,0.8717948494411578
male,group A,associate's degree,free/reduced,none,62,61,55,178,59.333333333333336,0.9838709518730492,0.8870967598855362
female,group C,associate's degree,standard,none,69,80,71,220,73.33333333333333,1.1594202730518801,1.0289854923335435
female,group D,some high school,standard,none,59,58,59,176,58.666666666666664,0.9830508307957486,0.9999999830508478
male,group B,some high school,standard,none,67,64,61,192,64.0,0.9552238663399424,0.9104477476052575
male,group D,some high school,free/reduced,none,45,37,37,119,39.666666666666664,0.8222222039506177,0.8222222039506177
female,group C,some college,standard,none,60,72,74,206,68.66666666666667,1.1999999800000003,1.2333333127777781
male,group B,associate's degree,free/reduced,none,61,58,56,175,58.333333333333336,0.9508196565439401,0.9180327718355283
female,group C,associate's degree,standard,none,39,64,57,160,53.333333333333336,1.6410255989480618,1.4615384240631175
female,group D,some college,free/reduced,completed,58,63,73,194,64.66666666666667,1.0862068778240195,1.2586206679548162
male,group D,some college,standard,completed,63,55,63,181,60.333333333333336,0.8730158591584785,0.9999999841269844
female,group A,associate's degree,free/reduced,none,41,51,48,140,46.666666666666664,1.2439024086853072,1.170731678762642
male,group C,some high school,free/reduced,none,61,57,56,174,58.0,0.9344262141897343,0.9180327718355283
male,group C,some high school,standard,none,49,49,41,139,46.333333333333336,0.9999999795918372,0.8367346768013332
male,group B,associate's degree,free/reduced,none,44,41,38,123,41.0,0.9318181606404964,0.863636344008265
male,group E,some high school,standard,none,30,26,22,78,26.0,0.8666666377777787,0.7333333088888897
male,group A,bachelor's degree,standard,completed,80,78,81,239,79.66666666666667,0.9749999878125002,1.0124999873437501
female,group D,some high school,standard,completed,61,74,72,207,69.0,1.2131147342112338,1.1803278495028222
female,group E,master's degree,standard,none,62,68,68,198,66.0,1.096774175858481,1.096774175858481
female,group B,associate's degree,standard,none,47,49,50,146,48.666666666666664,1.0425531693073795,1.0638297645993668
male,group B,high school,free/reduced,none,49,45,45,139,46.333333333333336,0.9183673281965852,0.9183673281965852
male,group A,some college,free/reduced,completed,50,47,54,151,50.333333333333336,0.9399999812000004,1.0799999784000005
male,group E,associate's degree,standard,none,72,64,63,199,66.33333333333333,0.88888887654321,0.8749999878472224
male,group D,high school,free/reduced,none,42,39,34,115,38.333333333333336,0.9285714064625856,0.8095237902494337
female,group C,some college,standard,none,73,80,82,235,78.33333333333333,1.095890395946707,1.1232876558453746
female,group C,some college,free/reduced,none,76,83,88,247,82.33333333333333,1.092105248788089,1.1578947216066484
female,group D,associate's degree,standard,none,71,71,74,216,72.0,0.9999999859154932,1.0422535064471337
female,group A,some college,standard,none,58,70,67,195,65.0,1.206896530915577,1.155172393876338
female,group D,some high school,standard,none,73,86,82,241,80.33333333333333,1.17808217564271,1.1232876558453746
female,group C,bachelor's degree,standard,none,65,72,74,211,70.33333333333333,1.107692290650888,1.138461520946746
male,group C,high school,free/reduced,none,27,34,36,97,32.333333333333336,1.259259212620029,1.3333332839506191
male,group C,high school,standard,none,71,79,71,221,73.66666666666667,1.1126760406665346,0.9999999859154932
male,group C,associate's degree,free/reduced,completed,43,45,50,138,46.0,1.0465116035694977,1.162790670632775
female,group B,some college,standard,none,79,86,92,257,85.66666666666667,1.088607581156866,1.1645569472840893
male,group C,associate's degree,free/reduced,completed,78,81,82,241,80.33333333333333,1.0384615251479292,1.0512820378040764
male,group B,some high school,standard,completed,65,66,62,193,64.33333333333333,1.015384599763314,0.9538461391715979
female,group E,some college,standard,completed,63,72,70,205,68.33333333333333,1.1428571247165535,1.111111093474427
female,group D,some college,free/reduced,none,58,67,62,187,62.333333333333336,1.155172393876338,1.0689654988109398
female,group D,bachelor's degree,standard,none,65,67,62,194,64.66666666666667,1.0307692149112428,0.9538461391715979
male,group B,some college,standard,none,79,67,67,213,71.0,0.8481012550873259,0.8481012550873259
male,group D,bachelor's degree,standard,completed,68,74,74,216,72.0,1.088235278114187,1.088235278114187
female,group D,associate's degree,standard,none,85,91,89,265,88.33333333333333,1.070588222698962,1.0470588112110728
male,group B,high school,standard,completed,60,44,47,151,50.333333333333336,0.7333333211111114,0.783333320277778
male,group C,some college,standard,completed,98,86,90,274,91.33333333333333,0.8775510114535612,0.9183673375676803
female,group C,some college,standard,none,58,67,72,197,65.66666666666667,1.155172393876338,1.2413792889417365
female,group D,master's degree,standard,none,87,100,100,287,95.66666666666667,1.1494252741445372,1.1494252741445372
male,group E,associate's degree,standard,completed,66,63,64,193,64.33333333333333,0.9545454400826449,0.9696969550045916
female,group B,associate's degree,free/reduced,none,52,76,70,198,66.0,1.4615384334319532,1.3461538202662728
female,group B,some high school,standard,none,70,64,72,206,68.66666666666667,0.91428570122449,1.0285714138775512
female,group D,associate's degree,free/reduced,completed,77,89,98,264,88.0,1.155844140833193,1.2727272561983474
male,group C,high school,standard,none,62,55,49,166,55.333333333333336,0.8870967598855362,0.7903225678980231
male,group A,associate's degree,standard,none,54,53,47,154,51.333333333333336,0.9814814633058989,0.8703703542524008
female,group D,some college,standard,none,51,58,54,163,54.333333333333336,1.137254879661669,1.0588235086505196
female,group E,bachelor's degree,standard,completed,99,100,100,299,99.66666666666667,1.0101009998979698,1.0101009998979698
male,group C,high school,standard,none,84,77,74,235,78.33333333333333,0.9166666557539684,0.8809523704648528
female,group B,bachelor's degree,free/reduced,none,75,85,82,242,80.66666666666667,1.1333333182222225,1.0933333187555558
female,group D,bachelor's degree,standard,none,78,82,79,239,79.66666666666667,1.0512820378040764,1.0128204998356347
female,group D,some high school,standard,none,51,63,61,175,58.333333333333336,1.235294093425606,1.1960784079200313
female,group C,some college,standard,none,55,69,65,189,63.0,1.2545454317355376,1.1818181603305788
female,group C,bachelor's degree,standard,completed,79,92,89,260,86.66666666666667,1.1645569472840893,1.1265822642204777
male,group B,associate's degree,standard,completed,91,89,92,272,90.66666666666667,0.9780219672744839,1.0109889998792418
female,group C,some college,standard,completed,88,93,93,274,91.33333333333333,1.0568181698088845,1.0568181698088845
male,group D,high school,free/reduced,none,63,57,56,176,58.666666666666664,0.904761890400605,0.8888888747795417
male,group E,some college,standard,none,83,80,73,236,78.66666666666667,0.9638554100740312,0.8795180616925535
female,group B,high school,standard,none,87,95,86,268,89.33333333333333,1.0919540104373102,0.9885057357643019
male,group B,some high school,standard,none,72,68,67,207,69.0,0.9444444313271607,0.930555542631173
male,group D,some college,standard,completed,65,77,74,216,72.0,1.1846153663905328,1.138461520946746
male,group D,master's degree,standard,none,82,82,74,238,79.33333333333333,0.9999999878048782,0.9024390133848901
female,group A,bachelor's degree,standard,none,51,49,51,151,50.333333333333336,0.9607842948865825,0.9999999803921573
male,group D,master's degree,standard,none,89,84,82,255,85.0,0.9438202141143797,0.9213483042545134
male,group C,some high school,free/reduced,completed,53,37,40,130,43.333333333333336,0.6981131943752228,0.7547169668921327
male,group E,some college,free/reduced,completed,87,74,70,231,77.0,0.8505747028669575,0.804597691901176
female,group C,some college,standard,completed,75,81,84,240,80.0,1.0799999856000002,1.1199999850666669
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,76.0,1.067567553140979,1.0135134998173851
male,group C,bachelor's degree,standard,none,58,55,48,161,53.666666666666664,0.9482758457193821,0.8275861926278243
male,group B,some high school,standard,completed,51,54,41,146,48.666666666666664,1.0588235086505196,0.8039215528642834
male,group E,high school,standard,none,70,55,56,181,60.333333333333336,0.7857142744897961,0.7999999885714287
female,group C,associate's degree,standard,none,59,66,67,192,64.0,1.1186440488365417,1.1355932010916407
male,group D,some college,standard,completed,71,61,69,201,67.0,0.8591549174766914,0.9718309722277328
female,group D,some high school,standard,none,76,72,71,219,73.0,0.9473684085872578,0.9342105140235459
female,group C,some college,free/reduced,none,59,62,64,185,61.666666666666664,1.0508474398161451,1.0847457443263433
female,group E,some college,free/reduced,completed,42,55,54,151,50.333333333333336,1.309523778344672,1.2857142551020415
male,group A,high school,standard,none,57,43,47,147,49.0,0.7543859516774395,0.8245613890427826
male,group D,some college,standard,none,88,73,78,239,79.66666666666667,0.8295454451188018,0.8863636262913225
female,group C,some college,free/reduced,none,22,39,33,94,31.333333333333332,1.772727192148764,1.499999931818185
male,group B,some high school,standard,none,88,84,75,247,82.33333333333333,0.9545454436983473,0.8522727175878101
male,group C,associate's degree,free/reduced,none,73,68,66,207,69.0,0.9315068365547009,0.9041095766560332
female,group D,bachelor's degree,standard,completed,68,75,81,224,74.66666666666667,1.1029411602508654,1.1911764530709346
male,group E,associate's degree,free/reduced,completed,100,100,93,293,97.66666666666667,0.9999999900000002,0.9299999907000002
male,group A,some high school,standard,completed,62,67,69,198,66.0,1.0806451438605622,1.1129032078563998
male,group A,bachelor's degree,standard,none,77,67,68,212,70.66666666666667,0.8701298588294823,0.8831168716478328
female,group B,associate's degree,standard,completed,59,70,66,195,65.0,1.186440657856938,1.1186440488365417
male,group D,bachelor's degree,standard,none,54,49,47,150,50.0,0.9074073906035669,0.8703703542524008
male,group D,some high school,standard,none,62,67,61,190,63.333333333333336,1.0806451438605622,0.9838709518730492
female,group C,some college,standard,completed,70,89,88,247,82.33333333333333,1.2714285532653065,1.2571428391836739
female,group E,high school,free/reduced,completed,66,74,78,218,72.66666666666667,1.121212104224059,1.1818181639118461
male,group B,some college,free/reduced,none,60,60,60,180,60.0,0.9999999833333336,0.9999999833333336
female,group B,associate's degree,standard,completed,61,86,87,234,78.0,1.4098360424617042,1.42622948481591
male,group D,associate's degree,free/reduced,none,66,62,64,192,64.0,0.9393939251606981,0.9696969550045916
male,group B,associate's degree,free/reduced,completed,82,78,74,234,78.0,0.9512195005948841,0.9024390133848901
female,group E,some college,free/reduced,completed,75,88,85,248,82.66666666666667,1.1733333176888892,1.1333333182222225
male,group B,master's degree,free/reduced,none,49,53,52,154,51.333333333333336,1.0816326309870892,1.0612244681382763
male,group C,high school,standard,none,52,53,49,154,51.333333333333336,1.019230749630178,0.9423076741863909
female,group E,master's degree,standard,none,81,92,91,264,88.0,1.13580245511355,1.12345677625362
female,group C,bachelor's degree,standard,completed,96,100,100,296,98.66666666666667,1.0416666558159724,1.0416666558159724
male,group C,high school,free/reduced,completed,53,51,51,155,51.666666666666664,0.9622641327874693,0.9622641327874693
female,group B,master's degree,free/reduced,completed,58,76,78,212,70.66666666666667,1.3103448049940551,1.3448275630202144
female,group B,high school,standard,completed,68,83,78,229,76.33333333333333,1.220588217344291,1.1470588066609
female,group C,some college,free/reduced,completed,67,75,70,212,70.66666666666667,1.1194029683671198,1.044776103809312
male,group A,high school,standard,completed,72,73,74,219,73.0,1.013888874807099,1.0277777635030867
male,group E,some high school,standard,none,94,88,78,260,86.66666666666667,0.9361702028067,0.8297872252150296
female,group D,some college,standard,none,79,86,81,246,82.0,1.088607581156866,1.0253164427175134
female,group C,associate's degree,standard,none,63,67,70,200,66.66666666666667,1.0634920466112374,1.111111093474427
female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,49.333333333333336,1.1860464840454308,1.2558139242833972
female,group C,master's degree,standard,completed,81,91,87,259,86.33333333333333,1.12345677625362,1.0740740608139006
female,group B,high school,free/reduced,completed,46,54,58,158,52.666666666666664,1.1739130179584127,1.2608695378071841
female,group C,associate's degree,standard,completed,71,77,77,225,75.0,1.0845070269787742,1.0845070269787742
female,group B,master's degree,free/reduced,completed,52,70,62,184,61.333333333333336,1.3461538202662728,1.1923076693786987
female,group D,some high school,standard,completed,97,100,100,297,99.0,1.0309278244234246,1.0309278244234246
male,group C,master's degree,free/reduced,completed,62,68,75,205,68.33333333333333,1.096774175858481,1.209677399843913
female,group C,some college,free/reduced,none,46,64,66,176,58.666666666666664,1.391304317580341,1.4347825775047267
female,group E,high school,standard,none,50,50,47,147,49.0,0.9999999800000005,0.9399999812000004
female,group D,associate's degree,standard,none,65,69,70,204,68.0,1.0615384452071008,1.07692306035503
male,group C,some high school,free/reduced,completed,45,52,49,146,48.666666666666664,1.1555555298765439,1.0888888646913586
male,group C,associate's degree,free/reduced,completed,65,67,65,197,65.66666666666667,1.0307692149112428,0.9999999846153849
male,group E,high school,standard,none,80,76,65,221,73.66666666666667,0.9499999881250002,0.8124999898437502
male,group D,some high school,standard,completed,62,66,68,196,65.33333333333333,1.0645161118626434,1.096774175858481
male,group B,some high school,free/reduced,none,48,52,45,145,48.333333333333336,1.0833333107638894,0.9374999804687505
female,group C,bachelor's degree,standard,none,77,88,87,252,84.0,1.1428571280148425,1.129870115196492
female,group E,associate's degree,standard,none,66,65,69,200,66.66666666666667,0.9848484699265384,1.0454545296143254
male,group D,some college,standard,completed,76,83,79,238,79.33333333333333,1.092105248788089,1.0394736705332412
female,group B,some high school,standard,none,62,64,66,192,64.0,1.0322580478668058,1.0645161118626434
male,group D,some college,standard,completed,77,62,62,201,67.0,0.8051947947377299,0.8051947947377299
female,group C,master's degree,standard,completed,69,84,85,238,79.33333333333333,1.217391286704474,1.2318840401176228
male,group D,associate's degree,standard,none,61,55,52,168,56.0,0.9016393294813225,0.8524590024187049
male,group C,some high school,free/reduced,completed,59,69,65,193,64.33333333333333,1.169491505601839,1.1016948965814424
male,group E,high school,free/reduced,none,55,56,51,162,54.0,1.0181817996694218,0.9272727104132235
female,group B,some college,free/reduced,none,45,53,55,153,51.0,1.177777751604939,1.2222221950617291
female,group B,bachelor's degree,free/reduced,none,78,79,76,233,77.66666666666667,1.0128204998356347,0.9743589618671928
female,group C,associate's degree,standard,completed,67,84,86,237,79.0,1.2537313245711743,1.2835820703942975
female,group D,some college,free/reduced,none,65,81,77,223,74.33333333333333,1.246153826982249,1.1846153663905328
male,group C,associate's degree,standard,none,69,77,69,215,71.66666666666667,1.1159420128124347,0.9999999855072467
female,group B,associate's degree,standard,none,57,69,68,194,64.66666666666667,1.2105262945521704,1.1929824352108345
male,group C,some college,standard,none,59,41,42,142,47.333333333333336,0.6949152424590637,0.7118643947141629
male,group D,some high school,standard,completed,74,71,78,223,74.33333333333333,0.9594594464937913,1.0540540398100806
male,group E,bachelor's degree,standard,none,82,62,62,206,68.66666666666667,0.7560975517549079,0.7560975517549079
male,group E,high school,standard,completed,81,80,76,237,79.0,0.9876543087943913,0.9382715933546717
female,group B,some college,free/reduced,none,74,81,76,231,77.0,1.094594579802776,1.0270270131482837
female,group B,some college,free/reduced,none,58,61,66,185,61.666666666666664,1.05172411979786,1.1379310148632584
male,group D,some high school,free/reduced,completed,80,79,79,238,79.33333333333333,0.9874999876562501,0.9874999876562501
male,group C,some college,free/reduced,none,35,28,27,90,30.0,0.7999999771428579,0.7714285493877557
female,group C,high school,free/reduced,none,42,62,60,164,54.666666666666664,1.4761904410430848,1.428571394557824
male,group C,associate's degree,free/reduced,completed,60,51,56,167,55.666666666666664,0.8499999858333336,0.9333333177777781
male,group E,high school,standard,completed,87,91,81,259,86.33333333333333,1.0459769994715287,0.931034472057075
male,group B,some high school,standard,completed,84,83,75,242,80.66666666666667,0.9880952263321997,0.8928571322278913
female,group E,associate's degree,free/reduced,completed,83,86,88,257,85.66666666666667,1.0361445658295836,1.0602409510814343
female,group C,high school,free/reduced,none,34,42,39,115,38.333333333333336,1.23529408131488,1.1470587897923885
male,group B,high school,free/reduced,none,66,77,70,213,71.0,1.1666666489898994,1.0606060445362722
male,group B,some high school,standard,completed,61,56,56,173,57.666666666666664,0.9180327718355283,0.9180327718355283
female,group D,high school,standard,completed,56,68,74,198,66.0,1.2142856926020413,1.3214285478316332
male,group B,associate's degree,standard,none,87,85,73,245,81.66666666666667,0.9770114830228566,0.8390804501255121
female,group C,some high school,free/reduced,none,55,65,62,182,60.666666666666664,1.1818181603305788,1.12727270677686
male,group D,some high school,standard,none,86,80,75,241,80.33333333333333,0.9302325473228774,0.8720930131151976
female,group B,associate's degree,standard,completed,52,66,73,191,63.666666666666664,1.2692307448224858,1.403846126849113
female,group E,master's degree,free/reduced,none,45,56,54,155,51.666666666666664,1.244444416790124,1.199999973333334
female,group C,some college,standard,none,72,72,71,215,71.66666666666667,0.9999999861111113,0.9861110974151237
male,group D,high school,standard,none,57,50,54,161,53.666666666666664,0.8771929670667901,0.9473684044321333
male,group A,some high school,free/reduced,none,68,72,64,204,68.0,1.0588235138408306,0.9411764567474051
female,group C,some college,standard,completed,88,95,94,277,92.33333333333333,1.0795454422778927,1.0681818060433885
male,group D,some college,standard,none,76,64,66,206,68.66666666666667,0.8421052520775625,0.8684210412049863
male,group C,associate's degree,standard,none,46,43,42,131,43.666666666666664,0.9347825883742916,0.9130434584120988
female,group B,bachelor's degree,standard,none,67,86,83,236,78.66666666666667,1.2835820703942975,1.2388059516596126
male,group E,some high school,standard,none,92,87,78,257,85.66666666666667,0.9456521636342157,0.8478260777410209
male,group C,bachelor's degree,standard,completed,83,82,84,249,83.0,0.9879517953258821,1.0120481805777328
male,group D,associate's degree,standard,none,80,75,77,232,77.33333333333333,0.9374999882812501,0.9624999879687501
male,group D,bachelor's degree,free/reduced,none,63,66,67,196,65.33333333333333,1.047619030990174,1.0634920466112374
female,group D,some high school,standard,completed,64,60,74,198,66.0,0.9374999853515628,1.156249981933594
male,group B,some college,standard,none,54,52,51,157,52.333333333333336,0.9629629451303159,0.9444444269547329
male,group C,associate's degree,standard,none,84,80,80,244,81.33333333333333,0.952380941043084,0.952380941043084
male,group D,high school,free/reduced,completed,73,68,66,207,69.0,0.9315068365547009,0.9041095766560332
female,group E,bachelor's degree,standard,none,80,83,83,246,82.0,1.0374999870312502,1.0374999870312502
female,group D,high school,standard,none,56,52,55,163,54.333333333333336,0.9285714119897962,0.9821428396045921
male,group E,some college,standard,none,59,51,43,153,51.0,0.8644067650100549,0.7288135469692619
male,group D,some high school,standard,none,75,74,69,218,72.66666666666667,0.9866666535111113,0.9199999877333336
male,group C,associate's degree,standard,none,85,76,71,232,77.33333333333333,0.8941176365397926,0.8352941078200693
male,group E,associate's degree,standard,none,89,76,74,239,79.66666666666667,0.8539325746749149,0.8314606648150488
female,group B,high school,standard,completed,58,70,68,196,65.33333333333333,1.206896530915577,1.1724137728894177
female,group B,high school,standard,none,65,64,62,191,63.666666666666664,0.9846153694674559,0.9538461391715979
male,group C,high school,standard,none,68,60,53,181,60.333333333333336,0.8823529282006922,0.7794117532439448
male,group A,some high school,standard,completed,47,49,49,145,48.333333333333336,1.0425531693073795,1.0425531693073795
female,group D,some college,free/reduced,none,71,83,83,237,79.0,1.1690140680420553,1.1690140680420553
female,group B,some high school,standard,completed,60,70,70,200,66.66666666666667,1.1666666472222227,1.1666666472222227
male,group D,master's degree,standard,none,80,80,72,232,77.33333333333333,0.9999999875000002,0.8999999887500002
male,group D,high school,standard,none,54,52,52,158,52.666666666666664,0.9629629451303159,0.9629629451303159
female,group E,some college,standard,none,62,73,70,205,68.33333333333333,1.1774193358480753,1.1290322398543187
female,group C,associate's degree,free/reduced,none,64,73,68,205,68.33333333333333,1.1406249821777348,1.0624999833984379
male,group C,associate's degree,standard,completed,78,77,77,232,77.33333333333333,0.9871794745233401,0.9871794745233401
female,group B,some college,standard,none,70,75,78,223,74.33333333333333,1.0714285561224492,1.1142856983673473
female,group C,master's degree,free/reduced,completed,65,81,81,227,75.66666666666667,1.246153826982249,1.246153826982249
female,group C,some high school,free/reduced,completed,64,79,77,220,73.33333333333333,1.234374980712891,1.2031249812011722
male,group C,some college,standard,completed,79,79,78,236,78.66666666666667,0.9999999873417723,0.9873417596539018
female,group C,some high school,free/reduced,none,44,50,51,145,48.333333333333336,1.1363636105371908,1.1590908827479345
female,group E,high school,standard,none,99,93,90,282,94.0,0.9393939299051118,0.9090908999081727
male,group D,high school,standard,none,76,73,68,217,72.33333333333333,0.9605263031509698,0.8947368303324101
male,group D,some high school,free/reduced,none,59,42,41,142,47.333333333333336,0.7118643947141629,0.6949152424590637
female,group C,bachelor's degree,standard,none,63,75,81,219,73.0,1.1904761715797434,1.2857142653061229
female,group D,high school,standard,none,69,72,77,218,72.66666666666667,1.0434782457466922,1.1159420128124347
female,group D,associate's degree,standard,completed,88,92,95,275,91.66666666666667,1.0454545335743803,1.0795454422778927
female,group E,some college,free/reduced,none,71,76,70,217,72.33333333333333,1.070422520134894,0.985915479071613
male,group C,bachelor's degree,standard,none,69,63,61,193,64.33333333333333,0.9130434650283556,0.8840579582020586
male,group C,some college,standard,none,58,49,42,149,49.666666666666664,0.8448275716409039,0.7241379185493463
female,group D,associate's degree,free/reduced,none,47,53,58,158,52.666666666666664,1.1276595504753288,1.2340425269352655
female,group D,some college,standard,none,65,70,71,206,68.66666666666667,1.07692306035503,1.0923076755029588
male,group B,some college,standard,completed,88,85,76,249,83.0,0.9659090799328514,0.8636363538223142
male,group C,bachelor's degree,standard,none,83,78,73,234,78.0,0.9397590248221804,0.8795180616925535
female,group C,some high school,standard,completed,85,92,93,270,90.0,1.0823529284429068,1.0941176341868515
female,group E,high school,standard,completed,59,63,75,197,65.66666666666667,1.0677965920712442,1.2711864191324336
female,group C,some high school,free/reduced,none,65,86,80,231,77.0,1.3230769027218938,1.2307692118343199
male,group B,bachelor's degree,free/reduced,none,73,56,57,186,62.0,0.7671232771626949,0.7808219071120287
male,group D,high school,standard,none,53,52,42,147,49.0,0.9811320569597726,0.7924528152367394
male,group D,high school,standard,none,45,48,46,139,46.333333333333336,1.0666666429629637,1.0222221995061733
female,group D,bachelor's degree,free/reduced,none,73,79,84,236,78.66666666666667,1.0821917659973732,1.1506849157440422
female,group D,some college,free/reduced,completed,70,78,78,226,75.33333333333333,1.1142856983673473,1.1142856983673473
female,group B,some high school,standard,none,37,46,46,129,43.0,1.2432432096420756,1.2432432096420756
male,group B,associate's degree,standard,completed,81,82,82,245,81.66666666666667,1.012345666514251,1.012345666514251
